periode,skpd,kode_rekening,nama_rekening,sampai_hari_ini,nilai
2,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.06,PAJAK HOTEL,12157542587.00 ,5181371455.00 
2,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.07,PAJAK RESTORAN,25686202166.00 ,12312995640.00 
2,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.08,PAJAK HIBURAN,1875034490.00 ,938352507.00 
2,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.10,PAJAK PENERANGAN JALAN,44558120200.00 ,21958082328.00 
2,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.11,PAJAK PARKIR,2707773275.00 ,1309463616.00 
2,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.12,PAJAK AIR TANAH,1724171854.00 ,874877350.00 
2,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.15,PAJAK BUMI DAN BANGUNAN,6400212468.00 ,3831178102.00 
2,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.16,BEA PEROLEHAN HAK ATAS TANAH DAN BANGUNAN (BPHTB),24274413459.00 ,16988369251.00 
2,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.09,PAJAK REKLAME,611428065.00 ,611428065.00 
2,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,4.1.02.03.01,          A. RETRIBUSI IZIN MENDIRIKAN BANGUNAN ,2966671625.00 ,191491371.00 
2,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,4.1.02.03.06,          B. RET. PEMB. PERPANJANGAN IMTA KEPADA TENAGA KERJA ASING        ,185348400.00 ,134748000.00 
2,DINAS PERHUBUNGAN,4.1.02.01.04.0001,               1. PARKIR HARIAN TEPI JALAN UMUM,1712630000.00 ,775255000.00 
2,DINAS PERHUBUNGAN,4.1.02.01.06.0001,               1. PENGUJIAN KENDERAAN BERMOTOR,825298500.00 ,490500000.00 
2,DINAS PERHUBUNGAN,4.1.02.02.04.0003,               1.RET. PENYEDIA FASILITAS LAINNYA DI LINGKUNGAN TERMINAL,20229000.00 ,10170000.00 
2,DINAS PERHUBUNGAN,4.1.02.02.05,          E. RETRIBUSI TEMPAT KHUSUS PARKIR (PARKIR KHUSUS PELATARAN),126956000.00 ,52508000.00 
2,DINAS PERHUBUNGAN,4.1.02.03.03,          F. RETRIBUSI IZIN TRAYEK UNTUK PEL. ANGKUTAN UMUM,1630000.00 ,45000.00 
2,DINAS KEBERSIHAN DAN PERTAMANAN,4.1.02.01.02,          A. RETRIBUSI  PELAYANAN KEBERSIHAN DAN PENGANGKUTAN SAMPAH,1630255700.00 ,1217473750.00 
2,DINAS KEBERSIHAN DAN PERTAMANAN,4.1.02.01.03,          B. RETRIBUSI  PELAYANAN PEMAKAMAN DAN PENGABUAN MAYAT,65939000.00 ,32170000.00 
2, Dinas Pencegah dan Pemadam Kebakaran ,4.1.02.01.07.0001,              1. PEMERIKSAAN/PENG.ALAT PEMADAM KEBAKARAN,196830000.00 ,141090000.00 
2,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PENATAAN RUANG",4.1.02.02.01.0001,                 1.  SEWA TANAH DAN BANGUNAN ,419788064.00 ,182424112.00 
2,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PENATAAN RUANG",4.1.02.02.08,           B. RET. PENGGANTIAN BIAYA CETAK PETA ,425700.00 ,198660.00 
2,DINAS PEKERJAAN UMUM,4.1.02.02.01,          A. RETRIBUSI SEWA ALAT - ALAT BERAT,121800000.00 ,61100000.00 
2,DINAS KESEHATAN,4.1.02.01.01,            A. RETRIBUSI PELAYANAN KESEHATAN DI PUSKESMAS,2505000.00 ,1065000.00 
2,DINAS PERDAGANGAN ,4.1.02.01.11,            A. RETRIBUSI PELAYANAN TERA / TERA ULANG ,33027800.00 ,30270800.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.05,  a. Penerimaan Jasa Giro,2925917482.00 ,1500175116.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.12,  b. Pendapatan Denda Pajak ,1415657982.00 ,728896635.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.15,  c. Pendapatan dan Pengembalian ,747880586.04 ,438322396.39 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0001,Bagi Hasil dari PBB (Sektor Pertambangan),1242984019.00 ,1242984019.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0004,Bagi Hasil Cukai Tembakau,13019438.00 ,13019438.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0005,Bagi Hasil dari Penerimaan dari Sektor Minyak Bumi dan Gas Bumi (Migas),4273800.00 ,4273800.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0007,Bagi Hasil dari Penerimaan dari Sektor Pertambangan Panas Bumi,45002697.00 ,2163097.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0010,E. Bagi Hasil dari Provisi Sumber Daya Hutan (PSDH),29047276.00 ,29047276.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0013,F. Bagi Hasil dari Penerimaan Pungutan Hasil Perikanan,398548000.00 ,229300150.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.01.01.02.0001 ,        1. Dana Alokasi Umum,394141590000.00 ,262761060000.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.01.01.04.0017 ,DAK Non Fisik-Dana Pelayanan Administrasi Kependudukan,0.00 ,1171435724.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.01.01.04.0020 ,DAK Non Fisik-Fasilitasi Penanaman Modal,0.00 ,163061000.00 
2,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.01.01.04.0022 ,DAK NonFisik-Dana Pelayanan Perlindungan Perempuan dan Anak,0.00 ,273047000.00 
