periode,skpd,kode_rekening,nama_rekening,sampai_hari_ini,nilai
6,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.06,PAJAK HOTEL,34850300629.00 ,7107899301.00 
6,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.07,PAJAK RESTORAN,86488699343.00 ,20929346979.00 
6,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.08,PAJAK HIBURAN,5543320591.00 ,878851530.00 
6,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.10,PAJAK PENERANGAN JALAN,136665320027.00 ,23993479951.00 
6,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.11,PAJAK PARKIR,7950574105.00 ,1408290969.00 
6,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.12,PAJAK AIR TANAH,5237216619.00 ,843925407.00 
6,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.15,PAJAK BUMI DAN BANGUNAN,82772229150.00 ,29559647280.00 
6,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.16,BEA PEROLEHAN HAK ATAS TANAH DAN BANGUNAN (BPHTB),129937415624.00 ,33710111349.00 
6,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.09,PAJAK REKLAME,16214885287.00 ,6197010549.00 
6, Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu ,4.1.02.03.01,          A. RETRIBUSI IZIN MENDIRIKAN BANGUNAN ,21959981317.00 ,1156737253.00 
6, Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu ,4.1.02.03.06,          B. RET. PEMB. PERPANJANGAN IMTA KEPADA TENAGA KERJA ASING        ,736652400.00 ,135704400.00 
6,DINAS PERHUBUNGAN,4.1.02.01.04.0001,               1. PARKIR HARIAN TEPI JALAN UMUM,6822458352.00 ,1628724000.00 
6,DINAS PERHUBUNGAN,4.1.02.01.06.0001,               1. PENGUJIAN KENDERAAN BERMOTOR,2748331550.00 ,654987500.00 
6,DINAS PERHUBUNGAN,4.1.02.02.04.0003,               1.RET. PENYEDIA FASILITAS LAINNYA DI LINGKUNGAN TERMINAL,58920000.00 ,10757000.00 
6,DINAS PERHUBUNGAN,4.1.02.02.05,          E. RETRIBUSI TEMPAT KHUSUS PARKIR (PARKIR KHUSUS PELATARAN),386456000.00 ,75946000.00 
6,DINAS PERHUBUNGAN,4.1.02.03.03,          F. RETRIBUSI IZIN TRAYEK UNTUK PEL. ANGKUTAN UMUM,63900300.00 ,45000.00 
6,DINAS KEBERSIHAN DAN PERTAMANAN,4.1.02.01.02,          A. RETRIBUSI  PELAYANAN KEBERSIHAN DAN PENGANGKUTAN SAMPAH,8498061650.00 ,2033336200.00 
6,DINAS KEBERSIHAN DAN PERTAMANAN,4.1.02.01.03,          B. RETRIBUSI  PELAYANAN PEMAKAMAN DAN PENGABUAN MAYAT,199891000.00 ,37276000.00 
6, Dinas Pencegah dan Pemadam Kebakaran ,4.1.02.01.07.0001,              1. PEMERIKSAAN/PENG.ALAT PEMADAM KEBAKARAN,561020000.00 ,96990000.00 
6,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PENATAAN RUANG",4.1.02.02.01.0001,                 1.  SEWA TANAH DAN BANGUNAN ,1180310928.00 ,161568400.00 
6,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PENATAAN RUANG",4.1.02.02.08,           B. RET. PENGGANTIAN BIAYA CETAK PETA ,1135200.00 ,198660.00 
6,DINAS KESEHATAN,4.1.02.01.01,            A. RETRIBUSI PELAYANAN KESEHATAN DI PUSKESMAS,8725000.00 ,1390000.00 
6,DINAS PERDAGANGAN ,4.1.02.01.11,            A. RETRIBUSI PELAYANAN TERA / TERA ULANG ,244446400.00 ,34777000.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.05,  a. Penerimaan Jasa Giro,13523400877.00 ,3027687552.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.12,  b. Pendapatan Denda Pajak ,5617479707.00 ,1438960680.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.15,  c. Pendapatan dan Pengembalian ,32200962848.90 ,2155996285.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0004,Bagi Hasil Cukai Tembakau,108914917.00 ,43065900.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0010,E. Bagi Hasil dari Provisi Sumber Daya Hutan (PSDH),144773101.00 ,33321150.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.01.01.02.0001 ,        1. Dana Alokasi Umum,897222290000.00 ,125770175000.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.01.01.04.0005 ,DAK Non Fisik-Tamsil Guru PNSD,0.00 ,272250000.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.01.01.04.0004 ,DAK Non Fisik-TPG PNSD,0.00 ,54900273000.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.02.01.01.0001 ,           -  Pajak Kendaraan Bermotor (PKB),268100676645.00 ,72411091410.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.02.01.01.0002 ,           - Bea Balik Nama Kendaraan Bermotor,181858112569.00 ,52845258167.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.02.01.01.0003 ,           - Pajak Bahan Bakar Kendaraan Bermotor,129595219804.00 ,32755586885.00 
6,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.02.01.01.0004 ,           - Pjk. Pengambilan & Pemanfaatan Air Permukaan Umum,1900058005.00 ,388102984.00 
