periode,skpd,kode_rekening,nama_rekening,sampai_hari_ini,nilai
1,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.06,PAJAK HOTEL,6976171132.00 ,6976171132.00 
1,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.07,PAJAK RESTORAN,13373206526.00 ,13373206526.00 
1,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.08,PAJAK HIBURAN,936681983.00 ,936681983.00 
1,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.10,PAJAK PENERANGAN JALAN,22600037872.00 ,22600037872.00 
1,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.11,PAJAK PARKIR,1398309659.00 ,1398309659.00 
1,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.12,PAJAK AIR TANAH,849294504.00 ,849294504.00 
1,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.15,PAJAK BUMI DAN BANGUNAN,2569034366.00 ,2569034366.00 
1,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.16,BEA PEROLEHAN HAK ATAS TANAH DAN BANGUNAN (BPHTB),7286044208.00 ,7286044208.00 
1, Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu ,4.1.02.03.01,          A. RETRIBUSI IZIN MENDIRIKAN BANGUNAN ,2775180254.00 ,2775180254.00 
1, Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu ,4.1.02.03.06,          B. RET. PEMB. PERPANJANGAN IMTA KEPADA TENAGA KERJA ASING        ,50600400.00 ,50600400.00 
1,DINAS PERHUBUNGAN,4.1.02.01.04.0001,               1. PARKIR HARIAN TEPI JALAN UMUM,937375000.00 ,937375000.00 
1,DINAS PERHUBUNGAN,4.1.02.01.06.0001,               1. PENGUJIAN KENDERAAN BERMOTOR,334798500.00 ,334798500.00 
1,DINAS PERHUBUNGAN,4.1.02.02.04.0003,               1.RET. PENYEDIA FASILITAS LAINNYA DI LINGKUNGAN TERMINAL,10059000.00 ,10059000.00 
1,DINAS PERHUBUNGAN,4.1.02.02.05,          E. RETRIBUSI TEMPAT KHUSUS PARKIR (PARKIR KHUSUS PELATARAN),74448000.00 ,74448000.00 
1,DINAS PERHUBUNGAN,4.1.02.03.03,          F. RETRIBUSI IZIN TRAYEK UNTUK PEL. ANGKUTAN UMUM,1585000.00 ,1585000.00 
1,DINAS KEBERSIHAN DAN PERTAMANAN,4.1.02.01.02,          A. RETRIBUSI  PELAYANAN KEBERSIHAN DAN PENGANGKUTAN SAMPAH,412781950.00 ,412781950.00 
1,DINAS KEBERSIHAN DAN PERTAMANAN,4.1.02.01.03,          B. RETRIBUSI  PELAYANAN PEMAKAMAN DAN PENGABUAN MAYAT,33769000.00 ,33769000.00 
1,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.02.02.01,           A. RETRIBUSI SEWA TANAH DAN BANGUNAN,58589985.00 ,58589985.00 
1, Dinas Pencegah dan Pemadam Kebakaran ,4.1.02.01.07.0001,              1. PEMERIKSAAN/PENG.ALAT PEMADAM KEBAKARAN,55740000.00 ,55740000.00 
1,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PENATAAN RUANG",4.1.02.02.01.0001,                 1.  SEWA TANAH DAN BANGUNAN ,237363952.00 ,237363952.00 
1,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PENATAAN RUANG",4.1.02.02.08,           B. RET. PENGGANTIAN BIAYA CETAK PETA ,227040.00 ,227040.00 
1,DINAS PEKERJAAN UMUM,4.1.02.02.01,          A. RETRIBUSI SEWA ALAT - ALAT BERAT,60700000.00 ,60700000.00 
1,DINAS KESEHATAN,4.1.02.01.01,            A. RETRIBUSI PELAYANAN KESEHATAN DI PUSKESMAS,1440000.00 ,1440000.00 
1,DINAS PERDAGANGAN ,4.1.02.01.11,            A. RETRIBUSI PELAYANAN TERA / TERA ULANG ,2757000.00 ,2757000.00 
1,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.05,  a. Penerimaan Jasa Giro,1425742366.00 ,1425742366.00 
1,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.12,  b. Pendapatan Denda Pajak ,686761347.00 ,686761347.00 
1,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.15,  c. Pendapatan dan Pengembalian ,309558189.65 ,309558189.65 
1,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0007,Bagi Hasil dari Penerimaan dari Sektor Pertambangan Panas Bumi,42839600.00 ,42839600.00 
1,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0009,I. Bagi Hasil dari Penerimaan dari Sektor Mineral dan Batu Bara (Minerba),465512200.00 ,465512200.00 
1,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0013,F. Bagi Hasil dari Penerimaan Pungutan Hasil Perikanan,169247850.00 ,169247850.00 
1,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 4.2.01.01.02.0001 ,        1. Dana Alokasi Umum,131380530000.00 ,131380530000.00 
1,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH, 6.1.01.07.01.0001 ,    1. Sisa Kas T.A 2019,586308781953.69 ,586308781953.69 
