periode,skpd,kode_rekening,nama_rekening,sampai_hari_ini,nilai
4,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.06,PAJAK HOTEL,21884371662.00 ,4732413619.00 
4,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.07,PAJAK RESTORAN,51379988185.00 ,12485314829.00 
4,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.08,PAJAK HIBURAN,3880561337.00 ,972951453.00 
4,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.10,PAJAK PENERANGAN JALAN,88552976112.00 ,22057085406.00 
4,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.11,PAJAK PARKIR,5203728415.00 ,1251056308.00 
4,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.12,PAJAK AIR TANAH,3373094972.00 ,870374980.00 
4,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.15,PAJAK BUMI DAN BANGUNAN,32329925145.00 ,17838578984.00 
4,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.16,BEA PEROLEHAN HAK ATAS TANAH DAN BANGUNAN (BPHTB),78992981845.00 ,26028189667.00 
4,BADAN PENGELOLA PAJAK DAN RETRIBUSI DAERAH,4.1.01.09,PAJAK REKLAME,7273584602.00 ,3843336781.00 
4, Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu ,4.1.02.03.01,          A. RETRIBUSI IZIN MENDIRIKAN BANGUNAN ,19932915113.00 ,3973230130.00 
4, Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu ,4.1.02.03.06,          B. RET. PEMB. PERPANJANGAN IMTA KEPADA TENAGA KERJA ASING        ,325386000.00 ,122690400.00 
4,DINAS PERHUBUNGAN,4.1.02.01.04.0001,               1. PARKIR HARIAN TEPI JALAN UMUM,4296621351.00 ,1299115351.00 
4,DINAS PERHUBUNGAN,4.1.02.01.06.0001,               1. PENGUJIAN KENDERAAN BERMOTOR,1705001550.00 ,312196500.00 
4,DINAS PERHUBUNGAN,4.1.02.02.04.0003,               1.RET. PENYEDIA FASILITAS LAINNYA DI LINGKUNGAN TERMINAL,40559000.00 ,8940000.00 
4,DINAS PERHUBUNGAN,4.1.02.02.05,          E. RETRIBUSI TEMPAT KHUSUS PARKIR (PARKIR KHUSUS PELATARAN),247565000.00 ,59476000.00 
4,DINAS PERHUBUNGAN,4.1.02.03.03,          F. RETRIBUSI IZIN TRAYEK UNTUK PEL. ANGKUTAN UMUM,5285000.00 ,90000.00 
4,DINAS KEBERSIHAN DAN PERTAMANAN,4.1.02.01.02,          A. RETRIBUSI  PELAYANAN KEBERSIHAN DAN PENGANGKUTAN SAMPAH,5119904500.00 ,1304387600.00 
